number,word,phoneme,syllabify,phoneme_syllabify,method
14178,meloloskan,məloloskan,me.lo.los.kan,mə.lo.los.kan,manual
14179,melombong,məlomboŋ,me.lom.bong,mə.lom.boŋ,manual
14180,melompati,məlompati,me.lom.pati,mə.lom.pati,manual
14181,melompat,məlompat,me.lom.pat,mə.lom.pat,manual
14182,meloncat,məlontʃat,me.lon.cat,mə.lon.tʃat,manual
14183,melonceng,məlontʃeŋ,me.lon.ceng,mə.lon.tʃeŋ,manual
14184,melonggarkan,məloŋgarkan,me.long.gar.kan,mə.loŋ.gar.kan,manual
14185,melongsorkan,məloŋsorkan,me.long.sor.kan,mə.loŋ.sor.kan,LLM
14186,melonjakkan,məlondʒaʔkan,me.lon.jak.kan,mə.lon.dʒa.ʔkan,LLM
14187,melonjak,məlondʒaʔ,me.lon.jak,mə.lon.dʒaʔ,manual
14188,melon,melon,me.lon,me.lon,manual
14189,melontari,məlontari,me.lon.tari,mə.lon.tari,manual
14190,melontarkan,məlontarkan,me.lon.tar.kan,mə.lon.tar.kan,manual
14191,melontar,məlontar,me.lon.tar,mə.lon.tar,manual
14192,melor,melor,me.lor,me.lor,manual
14193,melotot,məlotot,me.lo.tot,mə.lo.tot,manual
14194,meluahkan,məluahkan,me.lu.ah.kan,mə.lu.ah.kan,manual
14195,meluangkan,məluaŋkan,me.lu.ang.kan,mə.lu.aŋ.kan,manual
14196,meluap,məluap,me.lu.ap,mə.lu.ap,manual
14197,meluaskan,məluaskan,me.lu.as.kan,mə.lu.as.kan,manual
14198,meluas,məluas,me.lu.as,mə.lu.as,manual
14199,meluat,məluat,me.lu.at,mə.lu.at,manual
14200,melubangi,məlubaŋi,me.lu.bangi,mə.lu.baŋi,manual
14201,melucutkan,məlutʃutkan,me.lu.cut.kan,mə.lu.tʃu.tkan,manual
14202,melucut,məlutʃut,me.lu.cut,mə.lu.tʃut,manual
14203,meludahi,məludahi,me.lu.dahi,mə.lu.dahi,manual
14204,meludah,məludah,me.lu.dah,mə.lu.dah,manual
14205,melukai,məlukai,me.lu.kai,mə.lu.kai,manual
14206,melukakan,məlukakan,me.lu.ka.kan,mə.lu.ka.kan,LLM
14207,melukiskan,məlukiskan,me.lu.kis.kan,mə.lu.kis.kan,manual
14208,melukis,məlukis,me.lu.kis,mə.lu.kis,manual
14209,melukut,məlukut,me.lu.kut,mə.lu.kut,manual
14210,melulu,məlulu,me.lu.lu,mə.lu.lu,manual
14211,meluluskan,məluluskan,me.lu.lus.kan,mə.lu.lus.kan,manual
14212,melumas,məlumas,me.lu.mas,mə.lu.mas,manual
14213,melumpuhkan,məlumpuhkan,me.lum.puh.kan,mə.lum.puh.kan,manual
14214,melunakkan,məlunaʔkan,me.lu.nak.kan,mə.lu.naʔ.kan,manual
14215,melunasi,məlunasi,me.lu.nasi,mə.lu.nasi,manual
14216,melunaskan,məlunaskan,me.lu.nas.kan,mə.lu.nas.kan,manual
14217,meluncurkan,məluntʃurkan,me.lun.cur.kan,mə.lun.tʃu.rkan,manual
14218,meluncur,məluntʃur,me.lun.cur,mə.lun.tʃur,manual
14219,melunjur,məlundʒur,me.lun.jur,mə.lun.dʒur,LLM
14220,melunturkan,məlunturkan,me.lun.tur.kan,mə.lun.tur.kan,manual
14221,melupakan,məlupakan,me.lu.pa.kan,mə.lu.pa.kan,manual
14222,meluputkan,məluputkan,me.lu.put.kan,mə.lu.put.kan,manual
14223,melur,məlur,me.lur,mə.lur,manual
14224,meluruh,məluruh,me.lu.ruh,mə.lu.ruh,manual
14225,meluruskan,məluruskan,me.lu.rus.kan,mə.lu.rus.kan,manual
14226,melurus,məlurus,me.lu.rus,mə.lu.rus,manual
14227,memaafkan,məmaʔafkan,me.ma.af.kan,mə.ma.ʔa.fkan,manual
14228,memabukkan,məmabuʔkan,me.ma.buk.kan,mə.ma.buʔ.kan,manual
14229,memacu,məmatʃu,me.ma.cu,mə.ma.tʃu,manual
14230,memadai,məmadai,me.ma.dai,mə.ma.dai,manual
14231,memadamkan,məmadamkan,me.ma.dam.kan,mə.ma.dam.kan,manual
14232,memadam,məmadam,me.ma.dam,mə.ma.dam,LLM
14233,memadatkan,məmadatkan,me.ma.dat.kan,mə.ma.dat.kan,manual
14234,memadukan,məmadukan,me.ma.du.kan,mə.ma.du.kan,manual
14235,memagari,məmagari,me.ma.gari,mə.ma.gari,manual
14236,memagarkan,məmagarkan,me.ma.gar.kan,mə.ma.gar.kan,manual
14237,memagar,məmagar,me.ma.gar,mə.ma.gar,manual
14238,memagut,məmagut,me.ma.gut,mə.ma.gut,manual
14239,memahami,məmahami,me.ma.hami,mə.ma.hami,manual
14240,memahat,məmahat,me.ma.hat,mə.ma.hat,manual
14241,memahirkan,məmahirkan,me.ma.hir.kan,mə.ma.hir.kan,manual
14242,memahitkan,məmahitkan,me.ma.hit.kan,mə.ma.hit.kan,manual
14243,memahkotai,məmahkotai,me.mah.ko.tai,mə.mah.ko.tai,manual
14244,memainkan,məmainkan,me.ma.in.kan,mə.ma.in.kan,manual
14245,memajak,məmadʒaʔ,me.ma.jak,mə.ma.dʒaʔ,LLM
14246,memajukan,məmadʒukan,me.ma.ju.kan,mə.ma.dʒ.ukan,manual
14247,memaju,məmadʒu,me.ma.ju,mə.ma.dʒu,manual
14248,memakaikan,məmakaikan,me.ma.kai.kan,mə.ma.kai.kan,manual
14249,memakai,məmakai,me.ma.kai,mə.ma.kai,manual
14250,memakainya,məmakaiɲa,me.ma.kai.nya,mə.ma.kai.ɲa,LLM
14251,memakamkan,məmakamkan,me.ma.kam.kan,mə.ma.kam.kan,manual
14252,memakan,məmakan,me.ma.kan,mə.ma.kan,manual
14253,memakannya,məmakanɲa,me.ma.kan.nya,mə.ma.kan.ɲa,LLM
14254,memakbulkan,məmaʔbulkan,me.mak.bul.kan,mə.maʔ.bul.kan,manual
14255,memaki,məmaki,me.ma.ki,mə.ma.ki,manual
14256,memaklumi,məmaʔlumi,me.ma.klu.mi,mə.ma.ʔlu.mi,LLM
14257,memakmurkan,məmaʔmurkan,me.mak.mur.kan,mə.maʔ.mur.kan,manual
14258,memaksakan,məmaʔsakan,me.mak.sa.kan,mə.maʔ.sa.kan,manual
14259,memaksa,məmaʔsa,me.mak.sa,mə.maʔ.sa,manual
14260,memaksimumkan,məmaʔsimumkan,me.ma.ksi.mu.man,mə.ma.ʔsi.mu.mkan,LLM
14261,memaksudkan,məmaʔsudkan,me.mak.sud.kan,mə.maʔ.sud.kan,LLM
14262,memaku,məmaku,me.ma.ku,mə.ma.ku,manual
14263,memalingkan,məmaliŋkan,me.ma.ling.kan,mə.ma.liŋ.kan,manual
14264,memalsukan,məmalsukan,me.mal.su.kan,mə.mal.su.kan,manual
14265,memalukan,məmalukan,me.ma.lu.kan,mə.ma.lu.kan,manual
14266,memamah,məmamah,me.ma.mah,mə.ma.mah,manual
14267,memamerkan,məmamerkan,me.ma.mer.kan,mə.ma.mer.kan,manual
14268,memanaskan,məmanaskan,me.ma.nas.kan,mə.ma.nas.kan,manual
14269,memanas,məmanas,me.ma.nas,mə.ma.nas,manual
14270,memancarkan,məmantʃarkan,me.man.car.kan,mə.man.tʃa.rkan,manual
14271,memancar,məmantʃar,me.man.car,mə.man.tʃar,manual
14272,memancing,məmantʃiŋ,me.man.cing,mə.man.tʃiŋ,LLM
14273,memandangi,məmandaŋi,me.man.dangi,mə.man.daŋi,manual
14274,memandangkan,məmandaŋkan,me.man.dang.kan,mə.man.daŋ.kan,LLM
14275,memandang,məmandaŋ,me.man.dang,mə.man.daŋ,manual
14276,memandikan,məmandikan,me.man.di.kan,mə.man.di.kan,manual
14277,memandu,məmandu,me.man.du,mə.man.du,manual
14278,memanen,məmanen,me.ma.nen,mə.ma.nen,manual
14279,memanfaatkan,məmanfaʔatkan,me.man.fa.at.kan,mə.man.fa.ʔa.tkan,manual
14280,memanggang,məmaŋgaŋ,me.mang.gang,mə.maŋ.gaŋ,manual
14281,memanggil,məmaŋgil,me.mang.gil,mə.maŋ.gil,manual
14282,memanggul,məmaŋgul,me.mang.gul,mə.maŋ.gul,manual
14283,memangkas,məmaŋkas,me.mang.kas,mə.maŋ.kas,manual
14284,memangku,məmaŋku,me.mang.ku,mə.maŋ.ku,manual
14285,memang,memaŋ,me.mang,me.maŋ,manual
14286,memang,məmaŋ,me.mang,mə.maŋ,manual
14287,memanipulasikan,məmanipulasikan,me.ma.ni.pu.la.si.kan,mə.ma.ni.pu.la.si.kan,manual
14288,memanjakan,məmandʒakan,me.man.ja.kan,mə.man.dʒ.akan,manual
14289,memanjangkan,məmandʒaŋkan,me.man.jang.kan,mə.man.dʒaŋkan,manual
14290,memanjang,məmandʒaŋ,me.man.jang,mə.man.dʒaŋ,manual
14291,memanjati,məmandʒati,me.man.ja.ti,mə.man.dʒ.ati,LLM
14292,memanjatkan,məmandʒatkan,me.man.jat.kan,mə.man.dʒa.tkan,manual
14293,memanjat,məmandʒat,me.man.jat,mə.man.dʒat,manual
14294,memansuhkan,məmansuhkan,me.man.suh.kan,mə.man.suh.kan,LLM
14295,memantak,məmantaʔ,me.man.tak,mə.man.taʔ,manual
14296,memantapkan,məmantapkan,me.man.tap.kan,mə.man.tap.kan,manual
14297,memantau,məmantau,me.man.tau,mə.man.tau,manual
14298,memantulkan,məmantulkan,me.man.tul.kan,mə.man.tul.kan,manual
14299,memapah,məmapah,me.ma.pah,mə.ma.pah,manual
14300,memaparkan,məmaparkan,me.ma.par.kan,mə.ma.par.kan,manual
14301,memapar,məmapar,me.ma.par,mə.ma.par,manual
14302,memapas,məmapas,me.ma.pas,mə.ma.pas,manual
14303,memarahi,məmarahi,me.ma.rahi,mə.ma.rahi,manual
14304,memarang,məmaraŋ,me.ma.rang,mə.ma.raŋ,manual
14305,memar,məmar,me.mar,mə.mar,manual
14306,memarut,məmarut,me.ma.rut,mə.ma.rut,manual
14307,memasak,məmasaʔ,me.ma.sak,mə.ma.saʔ,manual
14308,memasang,məmasaŋ,me.ma.sang,mə.ma.saŋ,manual
14309,memasarkan,məmasarkan,me.ma.sar.kan,mə.ma.sar.kan,manual
14310,memasok,məmasoʔ,me.ma.sok,mə.ma.soʔ,manual
14311,memastikan,məmastikan,me.mas.ti.kan,mə.mas.ti.kan,manual
14312,memasuki,məmasuki,me.ma.su.ki,mə.ma.su.ki,LLM
14313,memasukkan,məmasuʔkan,me.ma.suk.kan,mə.ma.suʔ.kan,manual
14314,memasyhurkan,məmasjhurkan,me.masy.hur.kan,mə.masj.hur.kan,manual
14315,mematahkan,məmatahkan,me.ma.tah.kan,mə.ma.tah.kan,manual
14316,mematangkan,məmataŋkan,me.ma.tang.kan,mə.ma.taŋ.kan,manual
14317,mematikan,məmatikan,me.ma.ti.kan,mə.ma.ti.kan,manual
14318,mematuhi,məmatuhi,me.ma.tuhi,mə.ma.tuhi,manual
14319,membabak,məmbabaʔ,mem.ba.bak,məm.ba.baʔ,manual
14320,membaban,məmbaban,mem.ba.ban,məm.ba.ban,manual
14321,membabar,məmbabar,mem.ba.bar,məm.ba.bar,manual
14322,membabati,məmbabati,mem.ba.bati,məm.ba.bati,manual
14323,membabatkan,məmbabatkan,mem.ba.bat.kan,məm.ba.bat.kan,manual
14324,membabat,məmbabat,mem.ba.bat,məm.ba.bat,manual
14325,membabi,məmbabi,mem.ba.bi,məm.ba.bi,manual
14326,membabitkan,məmbabitkan,mem.ba.bit.kan,məm.ba.bit.kan,manual
14327,membacah,məmbatʃah,mem.ba.cah,məm.ba.tʃah,manual
14328,membacai,məmbatʃai,mem.ba.cai,məm.ba.tʃai,manual
14329,membacakan,məmbatʃakan,mem.ba.ca.kan,məm.ba.tʃ.akan,manual
14330,membaca,məmbatʃa,mem.ba.ca,məm.ba.tʃa,manual
14331,membacem,məmbatʃəm,mem.ba.cem,məm.ba.tʃəm,manual
14332,membacokkan,məmbatʃoʔkan,mem.ba.cok.kan,məm.ba.tʃo.ʔkan,manual
14333,membacok,məmbatʃoʔ,mem.ba.cok,məm.ba.tʃoʔ,manual
14334,membadai,məmbadai,mem.ba.dai,məm.ba.dai,manual
14335,membadik,məmbadiʔ,mem.ba.dik,məm.ba.diʔ,manual
14336,membadi,məmbadi,mem.ba.di,məm.ba.di,manual
14337,membadut,məmbadut,mem.ba.dut,məm.ba.dut,manual
14338,membagaikan,məmbagaikan,mem.ba.gai.kan,məm.ba.gai.kan,manual
14339,membagar,məmbagar,mem.ba.gar,məm.ba.gar,manual
14340,membagikan,məmbagikan,mem.ba.gi.kan,məm.ba.gi.kan,LLM
14341,membagi,məmbagi,mem.ba.gi,məm.ba.gi,manual
14342,membagul,məmbagul,mem.ba.gul,məm.ba.gul,manual
14343,membaguskan,məmbaguskan,me.mba.gus.kan,mə.mba.gus.kan,LLM
14344,membahagiakan,məmbahagiakan,mem.ba.ha.gi.a.kan,məm.ba.ha.gi.a.kan,manual
14345,membaham,məmbaham,mem.ba.ham,məm.ba.ham,manual
14346,membahana,məmbahana,mem.ba.ha.na,məm.ba.ha.na,manual
14347,membahan,məmbahan,mem.ba.han,məm.ba.han,manual
14348,membahasakan,məmbahasakan,mem.ba.ha.sa.kan,məm.ba.ha.sa.kan,manual
14349,membahas,məmbahas,mem.ba.has,məm.ba.has,manual
14350,membahayakan,məmbahajakan,mem.ba.ha.ya.kan,məm.ba.ha.ja.kan,manual
14351,membahu,məmbahu,mem.ba.hu,məm.ba.hu,manual
14352,membaiat,məmbaiat,mem.bai.at,məm.bai.at,manual
14353,membaiki,məmbaiki,mem.ba.iki,məm.ba.iki,manual
14354,membaikkan,məmbaiʔkan,mem.ba.ik.kan,məm.ba.iʔ.kan,manual
14355,membaik,məmbaiʔ,mem.ba.ik,məm.ba.iʔ,manual
14356,membajai,məmbadʒai,mem.ba.jai,məm.ba.dʒai,manual
14357,membajak,məmbadʒaʔ,mem.ba.jak,məm.ba.dʒaʔ,manual
14358,membaja,məmbadʒa,mem.ba.ja,məm.ba.dʒa,manual
14359,membajau,məmbadʒau,mem.ba.jau,məm.ba.dʒau,manual
14360,membaji,məmbadʒi,mem.ba.ji,məm.ba.dʒi,manual
14361,membajui,məmbadʒui,mem.ba.jui,məm.ba.dʒui,manual
14362,membajul,məmbadʒul,mem.ba.jul,məm.ba.dʒul,manual
14363,membakal,məmbakal,mem.ba.kal,məm.ba.kal,manual
14364,membakari,məmbakari,mem.ba.kari,məm.ba.kari,manual
14365,membakarkan,məmbakarkan,mem.ba.kar.kan,məm.ba.kar.kan,manual
14366,membakar,məmbakar,mem.ba.kar,məm.ba.kar,manual
14367,membakat,məmbakat,me.mba.kat,mə.mba.kat,LLM
14368,membaktikan,məmbaʔtikan,mem.bak.ti.kan,məm.baʔ.ti.kan,manual
14369,membakukan,məmbakukan,mem.ba.ku.kan,məm.ba.ku.kan,manual
14370,membalah,məmbalah,mem.ba.lah,məm.ba.lah,manual
14371,membalam,məmbalam,mem.ba.lam,məm.ba.lam,manual
14372,membalapkan,məmbalapkan,mem.ba.lap.kan,məm.ba.lap.kan,manual
14373,membalap,məmbalap,mem.ba.lap,məm.ba.lap,manual
14374,membalaskan,məmbalaskan,mem.ba.las.kan,məm.ba.las.kan,LLM
14375,membalas,məmbalas,mem.ba.las,məm.ba.las,manual
14376,membaliki,məmbaliki,mem.ba.liki,məm.ba.liki,manual
14377,membalikkan,məmbaliʔkan,mem.ba.lik.kan,məm.ba.liʔ.kan,manual
14378,membalik,məmbaliʔ,mem.ba.lik,məm.ba.liʔ,manual
14379,membal,məmbal,mem.bal,məm.bal,manual
14380,membalun,məmbalun,mem.ba.lun,məm.ba.lun,manual
14381,membalurkan,məmbalurkan,mem.ba.lur.kan,məm.ba.lur.kan,manual
14382,membalur,məmbalur,mem.ba.lur,məm.ba.lur,manual
14383,membaluti,məmbaluti,me.mba.lu.ti,mə.mba.lu.ti,LLM
14384,membalutkan,məmbalutkan,mem.ba.lut.kan,məm.ba.lut.kan,manual
14385,membalut,məmbalut,mem.ba.lut,məm.ba.lut,manual
14386,membancang,məmbantʃaŋ,mem.ban.cang,məm.ban.tʃaŋ,manual
14387,membancarkan,məmbantʃarkan,mem.ban.car.kan,məm.ban.tʃa.rkan,manual
14388,membancuhkan,məmbantʃuhkan,mem.ban.cuh.kan,məm.ban.tʃu.hkan,manual
14389,membancuh,məmbantʃuh,mem.ban.cuh,məm.ban.tʃuh,manual
14390,membandari,məmbandari,mem.ban.dari,məm.ban.dari,manual
14391,membandarkan,məmbandarkan,mem.ban.dar.kan,məm.ban.dar.kan,manual
14392,membandar,məmbandar,mem.ban.dar,məm.ban.dar,manual
14393,membandel,məmbandəl,mem.ban.del,məm.ban.dəl,manual
14394,membandering,məmbandəriŋ,mem.ban.de.ring,məm.ban.də.riŋ,manual
14395,membandingi,məmbandiŋi,mem.ban.dingi,məm.ban.diŋi,manual
14396,membandingkan,məmbandiŋkan,mem.ban.ding.kan,məm.ban.diŋ.kan,manual
14397,membanding,məmbandiŋ,mem.ban.ding,məm.ban.diŋ,manual
14398,membandit,məmbandit,mem.ban.dit,məm.ban.dit,manual
14399,membandul,məmbandul,mem.ban.dul,məm.ban.dul,manual
14400,membandut,məmbandut,mem.ban.dut,məm.ban.dut,manual
14401,membangatkan,məmbaŋatkan,mem.ba.ngat.kan,məm.ba.ŋat.kan,manual
14402,membanggakan,məmbaŋgakan,mem.bang.ga.kan,məm.baŋ.ga.kan,manual
14403,membangga,məmbaŋga,mem.bang.ga,məm.baŋ.ga,manual
14404,membangkang,məmbaŋkaŋ,mem.bang.kang,məm.baŋ.kaŋ,manual
14405,membangkar,məmbaŋkar,mem.bang.kar,məm.baŋ.kar,manual
14406,membangkitkan,məmbaŋkitkan,mem.bang.kit.kan,məm.baŋ.kit.kan,manual
14407,membangkit,məmbaŋkit,mem.bang.kit,məm.baŋ.kit,manual
14408,membangkrutkan,məmbaŋʔrutkan,mem.bang.krut.kan,məm.baŋ.ʔrut.kan,manual
14409,membangsakan,məmbaŋsakan,mem.bang.sa.kan,məm.baŋ.sa.kan,manual
14410,membangsa,məmbaŋsa,mem.bang.sa,məm.baŋ.sa,manual
14411,membanguni,məmbaŋuni,mem.ba.nguni,məm.ba.ŋuni,manual
14412,membangunkan,məmbaŋunkan,mem.ba.ngun.kan,məm.ba.ŋun.kan,manual
14413,membangun,məmbaŋun,mem.ba.ngun,məm.ba.ŋun,manual
14414,membaning,məmbaniŋ,mem.ba.ning,məm.ba.niŋ,manual
14415,membanjarkan,məmbandʒarkan,mem.ban.jar.kan,məm.ban.dʒa.rkan,manual
14416,membanjiri,məmbandʒiri,mem.ban.jiri,məm.ban.dʒiri,manual
14417,membanjir,məmbandʒir,mem.ban.jir,məm.ban.dʒir,manual
14418,membanjur,məmbandʒur,mem.ban.jur,məm.ban.dʒur,manual
14419,membantahi,məmbantahi,mem.ban.tahi,məm.ban.tahi,manual
14420,membantah,məmbantah,mem.ban.tah,məm.ban.tah,manual
14421,membantai,məmbantai,mem.ban.tai,məm.ban.tai,manual
14422,membantalkan,məmbantalkan,mem.ban.tal.kan,məm.ban.tal.kan,manual
14423,membantar,məmbantar,mem.ban.tar,məm.ban.tar,manual
14424,membanter,məmbantər,mem.ban.ter,məm.ban.tər,manual
14425,membantingkan,məmbantiŋkan,mem.ban.ting.kan,məm.ban.tiŋ.kan,manual
14426,membanting,məmbantiŋ,mem.ban.ting,məm.ban.tiŋ,manual
14427,membantukan,məmbantukan,mem.ban.tu.kan,məm.ban.tu.kan,manual
14428,membantu,məmbantu,mem.ban.tu,məm.ban.tu,manual
14429,membantuni,məmbantuni,mem.ban.tuni,məm.ban.tuni,manual
14430,membantun,məmbantun,mem.ban.tun,məm.ban.tun,manual
14431,membantut,məmbantut,mem.ban.tut,məm.ban.tut,manual
14432,membanyakkan,məmbaɲaʔkan,mem.ba.nyak.kan,məm.ba.ɲaʔk.an,manual
14433,membanyak,məmbaɲaʔ,mem.ba.nyak,məm.ba.ɲaʔ,manual
14434,membanyol,məmbaɲol,mem.ba.nyol,məm.ba.ɲol,manual
14435,membaptis,məmbaptis,mem.bap.tis,məm.bap.tis,manual
14436,membarah,məmbarah,mem.ba.rah,məm.ba.rah,manual
14437,membara,məmbara,mem.ba.ra,məm.ba.ra,manual
14438,membaratkan,məmbaratkan,mem.ba.rat.kan,məm.ba.rat.kan,manual
14439,membarat,məmbarat,mem.ba.rat,məm.ba.rat,LLM
14440,membarengi,məmbarəŋi,mem.ba.rengi,məm.ba.rəŋi,manual
14441,membarengkan,məmbarəŋkan,mem.ba.reng.kan,məm.ba.rəŋ.kan,manual
14442,membaringkan,məmbariŋkan,mem.ba.ring.kan,məm.ba.riŋ.kan,manual
14443,membariskan,məmbariskan,mem.ba.ris.kan,məm.ba.ris.kan,manual
14444,membaris,məmbaris,mem.ba.ris,məm.ba.ris,manual
14445,membarui,məmbarui,mem.ba.rui,məm.ba.rui,manual
14446,membarukan,məmbarukan,mem.ba.ru.kan,məm.ba.ru.kan,manual
14447,membaru,məmbaru,mem.ba.ru,məm.ba.ru,manual
14448,membarutkan,məmbarutkan,mem.ba.rut.kan,məm.ba.rut.kan,manual
14449,membarut,məmbarut,mem.ba.rut,məm.ba.rut,manual
14450,membasahi,məmbasahi,mem.ba.sahi,məm.ba.sahi,manual
14451,membasahkan,məmbasahkan,mem.ba.sah.kan,məm.ba.sah.kan,manual
14452,membasikan,məmbasikan,mem.ba.si.kan,məm.ba.si.kan,manual
14453,membasi,məmbasi,mem.ba.si,məm.ba.si,manual
14454,membasmi,məmbasmi,mem.bas.mi,məm.bas.mi,manual
14455,membasuh,məmbasuh,mem.ba.suh,məm.ba.suh,manual
14456,membasut,məmbasut,mem.ba.sut,məm.ba.sut,manual
14457,membatak,məmbataʔ,mem.ba.tak,məm.ba.taʔ,manual
14458,membatalkan,məmbatalkan,mem.ba.tal.kan,məm.ba.tal.kan,manual
14459,membatang,məmbataŋ,mem.ba.tang,məm.ba.taŋ,manual
14460,membatasi,məmbatasi,mem.ba.tasi,məm.ba.tasi,manual
14461,membataskan,məmbataskan,me.mba.ta.skan,mə.mba.ta.skan,LLM
14462,membatik,məmbatiʔ,mem.ba.tik,məm.ba.tiʔ,manual
14463,membatinkan,məmbatinkan,mem.ba.tin.kan,məm.ba.tin.kan,manual
14464,membatin,məmbatin,mem.ba.tin,məm.ba.tin,manual
14465,membatui,məmbatui,mem.ba.tui,məm.ba.tui,manual
14466,membatukkan,məmbatuʔkan,mem.ba.tuk.kan,məm.ba.tuʔ.kan,manual
14467,membatu,məmbatu,mem.ba.tu,məm.ba.tu,manual
14468,membaui,məmbaui,mem.ba.ui,məm.ba.ui,LLM
14469,membaurkan,məmbaurkan,me.mbaur.kan,mə.mbaur.kan,LLM
14470,membaur,məmbaur,mem.ba.ur,məm.ba.ur,manual
14471,membawahi,məmbawahi,mem.ba.wahi,məm.ba.wahi,manual
14472,membawahkan,məmbawahkan,mem.ba.wah.kan,məm.ba.wah.kan,manual
14473,membawakan,məmbawakan,mem.ba.wa.kan,məm.ba.wa.kan,manual
14474,membawa,məmbawa,me.mba.wa,mə.mba.wa,LLM
14475,membawangi,məmbawaŋi,mem.ba.wangi,məm.ba.waŋi,manual
14476,membawang,məmbawaŋ,mem.ba.wang,məm.ba.waŋ,manual
14477,membayangi,məmbajaŋi,mem.ba.yangi,məm.ba.jaŋi,manual
14478,membayangkan,məmbajaŋkan,mem.ba.yang.kan,məm.ba.jaŋ.kan,manual
14479,membayang,məmbajaŋ,mem.ba.yang,məm.ba.jaŋ,manual
14480,membayankan,məmbajankan,mem.ba.yan.kan,məm.ba.jan.kan,manual
14481,membayari,məmbajari,mem.ba.yari,məm.ba.jari,manual
14482,membayarkan,məmbajarkan,mem.ba.yar.kan,məm.ba.jar.kan,manual
14483,membayar,məmbajar,mem.ba.yar,məm.ba.jar,manual
14484,membayonet,məmbajonet,mem.ba.yo.net,məm.ba.jo.net,manual
14485,membea,məmbea,mem.bea,məm.bea,manual
14486,membebani,məmbəbani,mem.be.bani,məm.bə.bani,manual
14487,membebankan,məmbəbankan,mem.be.ban.kan,məm.bə.ban.kan,manual
14488,membeban,məmbəban,me.mbe.ban,mə.mbə.ban,LLM
14489,membebaskan,məmbebaskan,mem.be.bas.kan,məm.be.bas.kan,manual
14490,membebas-tugaskan,məmbebastugaskan,me.mbe.bas.tu.gas.kan,mə.mbe.bas.tu.gas.kan,LLM
14491,membebat,məmbəbat,mem.be.bat,məm.bə.bat,manual
14492,membebek,məmbebeʔ,mem.be.bek,məm.be.beʔ,manual
14493,membeberkan,məmbeberkan,mem.be.ber.kan,məm.be.ber.kan,manual
14494,membedah,məmbədah,mem.be.dah,məm.bə.dah,manual
14495,membedakan,məmbedakan,mem.be.da.kan,məm.be.da.kan,manual
14496,membedaki,məmbədaki,mem.be.daki,məm.bə.daki,manual
14497,membedakkan,məmbədaʔkan,mem.be.dak.kan,məm.bə.daʔ.kan,manual
14498,membedal,məmbədal,mem.be.dal,məm.bə.dal,manual
14499,membedel,məmbədel,mem.be.del,məm.bə.del,manual
14500,membedili,məmbədili,mem.be.dili,məm.bə.dili,manual
14501,membedil,məmbədil,mem.be.dil,məm.bə.dil,manual
14502,membedol,məmbədol,mem.be.dol,məm.bə.dol,manual
14503,membedung,məmbəduŋ,mem.be.dung,məm.bə.duŋ,manual
14504,membegal,məmbegal,mem.be.gal,məm.be.gal,manual
14505,membega,məmbega,mem.be.ga,məm.be.ga,manual
14506,membegar,məmbegar,mem.be.gar,məm.be.gar,manual
14507,membegar,məmbəgar,mem.be.gar,məm.bə.gar,manual
14508,membeginikan,məmbəginikan,mem.be.gi.ni.kan,məm.bə.gi.ni.kan,manual
14509,membegitukan,məmbəgitukan,mem.be.gi.tu.kan,məm.bə.gi.tu.kan,manual
14510,membehandel,məmbəhandəl,mem.be.han.del,məm.bə.han.dəl,manual
14511,membekali,məmbəkali,mem.be.kali,məm.bə.kali,manual
14512,membekalkan,məmbəkalkan,mem.be.kal.kan,məm.bə.kal.kan,manual
14513,membeka,məmbeka,mem.be.ka,məm.be.ka,manual
14514,membekam,məmbəkam,mem.be.kam,məm.bə.kam,manual
14515,membekap,məmbəkap,mem.be.kap,məm.bə.kap,manual
14516,membekaskan,məmbəkaskan,mem.be.kas.kan,məm.bə.kas.kan,manual
14517,membekas,məmbəkas,mem.be.kas,məm.bə.kas,manual
14518,membekukan,məmbəkukan,mem.be.ku.kan,məm.bə.ku.kan,manual
14519,membekuk,məmbəkuʔ,mem.be.kuk,məm.bə.kuʔ,manual
14520,membeku,məmbəku,mem.be.ku,məm.bə.ku,manual
14521,membelahak,məmbəlahaʔ,mem.be.la.hak,məm.bə.la.haʔ,manual
14522,membelah,məmbəlah,mem.be.lah,məm.bə.lah,manual
14523,membelai,məmbelai,mem.be.lai,məm.be.lai,manual
14524,membelai,məmbəlai,mem.be.lai,məm.bə.lai,manual
14525,membelajarkan,məmbəladʒarkan,mem.bel.a.jar.kan,məm.bəl.a.dʒa.rkan,manual
14526,membelakangi,məmbəlakaŋi,mem.be.la.kangi,məm.bə.la.kaŋi,manual
14527,membelakangkan,məmbəlakaŋkan,mem.be.la.kang.kan,məm.bə.la.kaŋ.kan,manual
14528,membelakang,məmbəlakaŋ,mem.be.la.kang,məm.bə.la.kaŋ,manual
14529,membelalakkan,məmbəlalaʔkan,mem.be.la.lak.kan,məm.bə.la.laʔ.kan,manual
14530,membelalak,məmbəlalaʔ,mem.be.la.lak,məm.bə.la.laʔ,manual
14531,membelalangkan,məmbəlalaŋkan,mem.be.la.lang.kan,məm.bə.la.laŋ.kan,manual
14532,membelalang,məmbəlalaŋ,mem.be.la.lang,məm.bə.la.laŋ,manual
14533,membela,məmbela,mem.be.la,məm.be.la,manual
14534,membela,məmbəla,mem.be.la,məm.bə.la,manual
