word,phoneme,word_syllable_sequence,phoneme_syllable_sequence
bahtera,bahtəra,bah.te.ra,bah.tə.ra
bahu,bahu,ba.hu,ba.hu
bahuku,bahuku,ba.hu.ku,ba.hu.ku
bahunya,bahuɲa,ba.hu.nya,ba.hu.ɲa
bahwa,bahwa,bah.wa,bah.wa
bahwasanya,bahwasaɲa,bah.wa.sa.nya,bah.wa.sa.ɲa
baiat,baiat,bai.at,bai.at
baid,baid,ba.id,ba.id
baiduri,baiduri,bai.du.ri,bai.du.ri
baikan,baikan,ba.ik.an,ba.ik.an
baik,baiʔ,ba.ik,ba.iʔ
baiklah,baiʔlah,ba.ik.lah,ba.ik.lah
baiknya,baiʔɲa,ba.ik.nya,ba.iʔ.ɲa
bainah,bainah,bai.nah,bai.nah
bain,bain,ba.in,ba.in
bait,bait,ba.it,ba.it
baja,badʒa,ba.ja,ba.dʒa
bajaj,badʒadʒ,ba.jaj,ba.dʒadʒ
bajakan,badʒakan,ba.jak.an,ba.dʒak.an
bajak,badʒaʔ,ba.jak,ba.dʒaʔ
bajan,badʒan,ba.jan,ba.dʒan
bajang,badʒaŋ,ba.jang,ba.dʒaŋ
bajau,badʒau,ba.jau,ba.dʒau
baji,badʒi,ba.ji,ba.dʒi
bajigur,badʒigur,ba.ji.gur,ba.dʒi.gur
bajik,badʒiʔ,ba.jik,ba.dʒiʔ
bajingan,badʒiŋan,ba.jing.an,ba.dʒiŋ.an
bajing,badʒiŋ,ba.jing,ba.dʒiŋ
baju,badʒu,ba.ju,ba.dʒu
bajuku,badʒuku,ba.ju.ku,ba.dʒu.ku
bajul,badʒul,ba.jul,ba.dʒul
bajumu,badʒumu,ba.ju.mu,ba.dʒu.mu
bajunya,badʒuɲa,ba.ju.nya,ba.dʒu.ɲa
baka,baka,ba.ka,ba.ka
bakak,bakaʔ,ba.kak,ba.kaʔ
bakalan,bakalan,ba.kal.an,ba.kal.an
bakalaureat,bakalaureat,ba.ka.lau.re.at,ba.ka.lau.re.at
bakal,bakal,ba.kal,ba.kal
bakam,bakam,ba.kam,ba.kam
bakap,bakap,ba.kap,ba.kap
bakaran,bakaran,ba.kar.an,ba.kar.an
bakarat,bakarat,ba.ka.rat,ba.ka.rat
bakar,bakar,ba.kar,ba.kar
bakat,bakat,ba.kat,ba.kat
bakau,bakau,ba.kau,ba.kau
bak,baʔ,bak,baʔ
bakda,baʔda,bak.da,baʔ.da
bakdahu,baʔdahu,bak.da.hu,baʔ.da.hu
bakdu,baʔdu,bak.du,baʔ.du
bakdul,baʔdul,bak.dul,baʔ.dul
bakelit,bakəlit,ba.ke.lit,ba.kə.lit
bakero,bakero,ba.ke.ro,ba.ke.ro
bakhil,baʔhil,ba.khil,ba.khil
bakiak,bakiaʔ,ba.ki.ak,ba.ki.aʔ
baki,baki,ba.ki,ba.ki
bakik,bakiʔ,ba.kik,ba.kiʔ
bakir,bakir,ba.kir,ba.kir
bakmi,baʔmi,bak.mi,baʔ.mi
bako,bako,ba.ko,ba.ko
bakpao,baʔpao,bak.pa.o,baʔ.pa.o
bakpia,baʔpia,bak.pi.a,baʔ.pi.a
baksi,baʔsi,bak.si,baʔ.si
baksis,baʔsis,bak.sis,baʔ.sis
bakso,baʔso,bak.so,baʔ.so
baktau,baʔtau,bak.tau,baʔ.tau
bakteri,baʔteri,bak.te.ri,baʔ.te.ri
bakteriolog,baʔteriolog,bak.te.ri.o.log,baʔ.te.ri.o.log
bakteriologi,baʔteriologi,bak.te.ri.o.lo.gi,baʔ.te.ri.o.lo.gi
bakti,baʔti,bak.ti,baʔ.ti
baktinya,baʔtiɲa,bak.ti.nya,baʔ.ti.ɲa
baku,baku,ba.ku,ba.ku
bakul,bakul,ba.kul,ba.kul
bakung,bakuŋ,ba.kung,ba.kuŋ
bakup,bakup,ba.kup,ba.kup
bakut,bakut,ba.kut,ba.kut
bakwan,baʔwan,bak.wan,bak.wan
balabad,balabad,ba.la.bad,ba.la.bad
bala,bala,ba.la,ba.la
balada,balada,ba.la.da,ba.la.da
balad,balad,ba.lad,ba.lad
balah,balah,ba.lah,ba.lah
balai,balai,ba.lai,ba.lai
balairung,balairuŋ,ba.lai.rung,ba.lai.ruŋ
balak,balaʔ,ba.lak,ba.laʔ
balalaika,balalaika,ba.la.lai.ka,ba.la.lai.ka
balam,balam,ba.lam,ba.lam
balan,balan,ba.lan,ba.lan
balang,balaŋ,ba.lang,ba.laŋ
balans,balans,ba.lans,ba.lans
balapan,balapan,ba.lap.an,ba.lap.an
balap,balap,ba.lap,ba.lap
balar,balar,ba.lar,ba.lar
balasan,balasan,ba.las.an,ba.las.an
balas,balas,ba.las,ba.las
balatentara,balatəntara,ba.la.ten.ta.ra,ba.la.tən.ta.ra
balau,balau,ba.lau,ba.lau
bal,bal,bal,bal
balela,balela,ba.le.la,ba.le.la
balerina,balerina,ba.le.ri.na,ba.le.ri.na
balerong,baleroŋ,ba.le.rong,ba.le.roŋ
balet,balet,ba.let,ba.let
balgam,balgam,bal.gam,bal.gam
balian,balian,ba.li.an,ba.li.an
bali,bali,ba.li,ba.li
balig,balig,ba.lig,ba.lig
baliho,baliho,ba.li.ho,ba.li.ho
balikan,balikan,ba.lik.an,ba.lik.an
balik,baliʔ,ba.lik,ba.liʔ
balikkan,baliʔkan,ba.lik.kan,ba.liʔ.kan
baling,baliŋ,ba.ling,ba.liŋ
balistik,balistiʔ,ba.lis.tik,ba.lis.tiʔ
balkon,balkon,bal.kon,bal.kon
balok,baloʔ,ba.lok,ba.loʔ
balon,balon,ba.lon,ba.lon
balong,baloŋ,ba.long,ba.loŋ
balot,balot,ba.lot,ba.lot
balsam,balsam,bal.sam,bal.sam
balu,balu,ba.lu,ba.lu
baluhan,baluhan,ba.luh.an,ba.luh.an
baluh,baluh,ba.luh,ba.luh
balui,balui,ba.lu.i,ba.lu.i
baluk,baluʔ,ba.luk,ba.luʔ
balun,balun,ba.lun,ba.lun
balung,baluŋ,ba.lung,ba.luŋ
baluran,baluran,ba.lur.an,ba.lur.an
balur,balur,ba.lur,ba.lur
balutan,balutan,ba.lut.an,ba.lut.an
balut,balut,ba.lut,ba.lut
bam,bam,bam,bam
bambang,bambaŋ,bam.bang,bam.baŋ
bambu,bambu,bam.bu,bam.bu
bambungan,bambuŋan,bam.bung.an,bam.buŋ.an
bambung,bambuŋ,bam.bung,bam.buŋ
bana,bana,ba.na,ba.na
banal,banal,ba.nal,ba.nal
banang,banaŋ,ba.nang,ba.naŋ
banar,banar,ba.nar,ba.nar
banat,banat,ba.nat,ba.nat
ban,ban,ban,ban
bancakan,bantʃakan,ban.cak.an,ban.tʃak.an
bancang,bantʃaŋ,ban.cang,ban.tʃaŋ
bancar,bantʃar,ban.car,ban.tʃar
bancet,bantʃet,ban.cet,ban.tʃet
banci,bantʃi,ban.ci,ban.tʃi
bancik,bantʃiʔ,ban.cik,ban.tʃiʔ
bancuhan,bantʃuhan,ban.cuh.an,ban.tʃuh.an
bancuh,bantʃuh,ban.cuh,ban.tʃuh
bancut,bantʃut,ban.cut,ban.tʃut
banda,banda,ban.da,ban.da
bandan,bandan,ban.dan,ban.dan
bandang,bandaŋ,ban.dang,ban.daŋ
bandara,bandara,ban.da.ra,ban.da.ra
bandaran,bandaran,ban.dar.an,ban.dar.an
bandar,bandar,ban.dar,ban.dar
bandarsah,bandarsah,ban.dar.sah,ban.dar.sah
bandea,bandea,ban.de.a,ban.de.a
bandela,bandəla,ban.de.la,ban.də.la
bandel,bandəl,ban.del,ban.dəl
bandeng,bandəŋ,ban.deng,ban.dəŋ
bandering,bandəriŋ,ban.de.ring,ban.də.riŋ
banderol,bandərol,ban.de.rol,ban.də.rol
bandingan,bandiŋan,ban.ding.an,ban.diŋ.an
banding,bandiŋ,ban.ding,ban.diŋ
bandit,bandit,ban.dit,ban.dit
banditisme,banditismə,ban.dit.is.me,ban.dit.is.mə
bando,bando,ban.do,ban.do
bandongan,bandoŋan,ban.dong.an,ban.doŋ.an
bandos,bandos,ban.dos,ban.dos
bandot,bandot,ban.dot,ban.dot
bandrek,bandreʔ,ban.drek,ban.dreʔ
bandu,bandu,ban.du,ban.du
bandulan,bandulan,ban.dul.an,ban.dul.an
bandul,bandul,ban.dul,ban.dul
bandung,banduŋ,ban.dung,ban.duŋ
bandusa,bandusa,ban.du.sa,ban.du.sa
bandut,bandut,ban.dut,ban.dut
bangai,baŋai,ba.ngai,ba.ŋai
bangan,baŋan,ba.ngan,ba.ŋan
bangang,baŋaŋ,ba.ngang,ba.ŋaŋ
bangar,baŋar,ba.ngar,ba.ŋar
bangas,baŋas,ba.ngas,ba.ŋas
bangat,baŋat,ba.ngat,ba.ŋat
bangau,baŋau,ba.ngau,ba.ŋau
bang,baŋ,bang,baŋ
bangbung,baŋbuŋ,bang.bung,baŋ.buŋ
banget,baŋət,ba.nget,ba.ŋət
bangga,baŋga,bang.ga,baŋ.ga
bangi,baŋi,ba.ngi,ba.ŋi
bangir,baŋir,ba.ngir,ba.ŋir
bangka,baŋka,bang.ka,baŋ.ka
bangkai,baŋkai,bang.kai,baŋ.kai
bangkal,baŋkal,bang.kal,baŋ.kal
bangkang,baŋkaŋ,bang.kang,baŋ.kaŋ
bangkar,baŋkar,bang.kar,baŋ.kar
bangkas,baŋkas,bang.kas,baŋ.kas
bangkeh,baŋkeh,bang.keh,baŋ.keh
bangket,baŋket,bang.ket,baŋ.ket
bangking,baŋkiŋ,bang.king,baŋ.kiŋ
bangkir,baŋkir,bang.kir,baŋ.kir
bangkis,baŋkis,bang.kis,baŋ.kis
bangkitan,baŋkitan,bang.kit.an,baŋ.kit.an
bangkit,baŋkit,bang.kit,baŋ.kit
bangkok,baŋkoʔ,bang.kok,baŋ.koʔ
bangkong,baŋkoŋ,bang.kong,baŋ.koŋ
bangkotan,baŋkotan,bang.kot.an,baŋ.kot.an
bangkot,baŋkot,bang.kot,baŋ.kot
bangkrut,baŋʔrut,bang.krut,baŋ.krut
bangku,baŋku,bang.ku,baŋ.ku
bangkut,baŋkut,bang.kut,baŋ.kut
banglas,baŋlas,bang.las,baŋ.las
bangle,baŋle,bang.le,baŋ.le
banglo,baŋlo,bang.lo,baŋ.lo
bango,baŋo,ba.ngo,ba.ŋo
bangor,baŋor,ba.ngor,ba.ŋor
bangpak,baŋpaʔ,bang.pak,baŋ.paʔ
bangsa,baŋsa,bang.sa,baŋ.sa
bangsai,baŋsai,bang.sai,baŋ.sai
bangsal,baŋsal,bang.sal,baŋ.sal
bangsanya,baŋsaɲa,bang.sa.nya,baŋ.sa.ɲa
bangsat,baŋsat,bang.sat,baŋ.sat
bangsawan,baŋsawan,bang.sa.wan,baŋ.sa.wan
bangsi,baŋsi,bang.si,baŋ.si
bangunan,baŋunan,ba.ngun.an,ba.ŋun.an
bangun,baŋun,ba.ngun,ba.ŋun
bangunkan,baŋunkan,ba.ngun.kan,ba.ŋun.kan
bangus,baŋus,ba.ngus,ba.ŋus
bani,bani,ba.ni,ba.ni
baning,baniŋ,ba.ning,ba.niŋ
banir,banir,ba.nir,ba.nir
banjang,bandʒaŋ,ban.jang,ban.dʒaŋ
banjaran,bandʒaran,ban.jar.an,ban.dʒar.an
banjar,bandʒar,ban.jar,ban.dʒar
banji,bandʒi,ban.ji,ban.dʒi
banjir,bandʒir,ban.jir,ban.dʒir
banjur,bandʒur,ban.jur,ban.dʒur
bank,banʔ,bank,baŋ
bankir,bankir,ban.kir,ban.kir
bantahan,bantahan,ban.tah.an,ban.tah.an
bantah,bantah,ban.tah,ban.tah
bantaian,bantaian,ban.tai.an,ban.tai.an
bantai,bantai,ban.tai,ban.tai
bantalan,bantalan,ban.tal.an,ban.tal.an
bantal,bantal,ban.tal,ban.tal
bantam,bantam,ban.tam,ban.tam
bantaran,bantaran,ban.tar.an,ban.tar.an
bantar,bantar,ban.tar,ban.tar
bantat,bantat,ban.tat,ban.tat
bantau,bantau,ban.tau,ban.tau
banteng,banteŋ,ban.teng,ban.teŋ
banteng,bantəŋ,ban.teng,ban.təŋ
banteras,bantəras,ban.te.ras,ban.tə.ras
banter,bantər,ban.ter,ban.tər
bantingan,bantiŋan,ban.ting.an,ban.tiŋ.an
banting,bantiŋ,ban.ting,ban.tiŋ
bantuan,bantuan,ban.tu.an,ban.tu.an
bantu,bantu,ban.tu,ban.tu
bantun,bantun,ban.tun,ban.tun
bantunya,bantuɲa,ban.tu.nya,ban.tu.ɲa
bantut,bantut,ban.tut,ban.tut
banyakan,baɲakan,ba.nyak.an,ba.ɲak.an
banyak,baɲaʔ,ba.nyak,ba.ɲaʔ
banyaknya,baɲaʔɲa,ba.nyak.nya,ba.ɲaʔ.ɲa
banyo,baɲo,ba.nyo,ba.ɲo
banyolan,baɲolan,ba.nyol.an,ba.ɲol.an
banyol,baɲol,ba.nyol,ba.ɲol
banyu,baɲu,ba.nyu,ba.ɲu
banzai,banzai,ban.zai,ban.zai
bapa,bapa,ba.pa,ba.pa
bapak,bapaʔ,ba.pak,ba.paʔ
bapakisme,bapakismə,ba.pak.is.me,ba.pak.is.mə
bapaknya,bapaʔɲa,ba.pak.nya,ba.paʔ.ɲa
bapanda,bapanda,ba.pan.da,ba.pan.da
bapang,bapaŋ,ba.pang,ba.paŋ
bap,bap,bap,bap
bapet,bapet,ba.pet,ba.pet
baplang,baplaŋ,bap.lang,bap.laŋ
baptisan,baptisan,bap.tis.an,bap.tis.an
baptis,baptis,bap.tis,bap.tis
baraat,baraʔat,ba.ra.at,ba.ra.ʔat
bara,bara,ba.ra,ba.ra
barah,barah,ba.rah,ba.rah
barai,barai,ba.rai,ba.rai
barakat,barakat,ba.ra.kat,ba.ra.kat
barakatuh,barakatuh,ba.ra.ka.tuh,ba.ra.ka.tuh
barak,baraʔ,ba.rak,ba.raʔ
baran,baran,ba.ran,ba.ran
barangan,baraŋan,ba.ra.ngan,ba.ra.ŋan
barang,baraŋ,ba.rang,ba.raŋ
barangkali,baraŋkali,ba.rang.ka.li,ba.raŋ.ka.li
barangnya,baraŋɲa,ba.rang.nya,ba.raŋ.ɲa
barap,barap,ba.rap,ba.rap
barat,barat,ba.rat,ba.rat
barau,barau,ba.rau,ba.rau
bar,bar,bar,bar
barbar,barbar,bar.bar,bar.bar
barbarisme,barbarismə,bar.bar.is.me,bar.bar.is.mə
barbel,barbel,bar.bel,bar.bel
barbiturat,barbiturat,bar.bi.tu.rat,bar.bi.tu.rat
barbur,barbur,bar.bur,bar.bur
bardi,bardi,bar.di,bar.di
barel,barəl,ba.rel,ba.rəl
bareng,barəŋ,ba.reng,ba.rəŋ
baret,baret,ba.ret,ba.ret
bari,bari,ba.ri,ba.ri
barid,barid,ba.rid,ba.rid
barikade,barikadə,ba.ri.ka.de,ba.ri.ka.də
baringan,bariŋan,ba.ring.an,ba.riŋ.an
baring,bariŋ,ba.ring,ba.riŋ
barisan,barisan,ba.ris.an,ba.ris.an
baris,baris,ba.ris,ba.ris
barit,barit,ba.rit,ba.rit
bariton,bariton,ba.ri.ton,ba.ri.ton
barium,barium,ba.ri.um,ba.ri.um
barkas,barkas,bar.kas,bar.kas
barli,barli,bar.li,bar.li
barok,baroʔ,ba.rok,ba.roʔ
barometer,barometər,ba.ro.me.ter,ba.ro.me.tər
baron,baron,ba.ron,ba.ron
barongan,baroŋan,ba.rong.an,ba.roŋ.an
barong,baroŋ,ba.rong,ba.roŋ
barongsai,baroŋsai,ba.rong.sai,ba.roŋ.sai
barracuda,barratʃuda,bar.ra.cu.da,bar.ra.tʃu.da
barso,barso,bar.so,bar.so
barter,bartər,bar.ter,bar.tər
barua,barua,ba.ru.a,ba.ru.a
baru,baru,ba.ru,ba.ru
baruh,baruh,ba.ruh,ba.ruh
barulah,barulah,ba.ru.lah,ba.ru.lah
barung,baruŋ,ba.rung,ba.ruŋ
barunya,baruɲa,ba.ru.nya,ba.ru.ɲa
barusan,barusan,ba.ru.san,ba.ru.san
barus,barus,ba.rus,ba.rus
barut,barut,ba.rut,ba.rut
barzakh,barzaʔh,bar.zakh,bar.zakh
barzanji,barzandʒi,bar.zan.ji,bar.zan.dʒi
basa,basa,ba.sa,ba.sa
basahan,basahan,ba.sah.an,ba.sah.an
basah,basah,ba.sah,ba.sah
basal,basal,ba.sal,ba.sal
basau,basau,ba.sau,ba.sau
bas,bas,bas,bas
basi,basi,ba.si,ba.si
basikal,basikal,ba.si.kal,ba.si.kal
basil,basil,ba.sil,ba.sil
basilika,basilika,ba.si.li.ka,ba.si.li.ka
basir,basir,ba.sir,ba.sir
basis,basis,ba.sis,ba.sis
basit,basit,ba.sit,ba.sit
baskara,baskara,bas.ka.ra,bas.ka.ra
basket,basket,bas.ket,bas.ket
baskom,baskom,bas.kom,bas.kom
basmi,basmi,bas.mi,bas.mi
bastar,bastar,bas.tar,bas.tar
basuhan,basuhan,ba.suh.an,ba.suh.an
basuh,basuh,ba.suh,ba.suh
basungan,basuŋan,ba.sung.an,ba.suŋ.an
basung,basuŋ,ba.sung,ba.suŋ
basut,basut,ba.sut,ba.sut
bataan,bataʔan,ba.ta.an,ba.ta.ʔan
bata,bata,ba.ta,ba.ta
batagor,batagor,ba.ta.gor,ba.ta.gor
batai,batai,ba.tai,ba.tai
batak,bataʔ,ba.tak,ba.taʔ
batako,batako,ba.ta.ko,ba.ta.ko
batal,batal,ba.tal,ba.tal
batalion,batalion,ba.ta.li.on,ba.ta.li.on
batangan,bataŋan,ba.tang.an,ba.taŋ.an
batang,bataŋ,ba.tang,ba.taŋ
batangnya,bataŋɲa,ba.tang.nya,ba.taŋ.ɲa
batara,batara,ba.ta.ra,ba.ta.ra
batari,batari,ba.ta.ri,ba.ta.ri
batasan,batasan,ba.tas.an,ba.tas.an
batas,batas,ba.tas,ba.tas
batasnya,batasɲa,ba.tas.nya,ba.tas.ɲa
batel,batel,ba.tel,ba.tel
baterai,batərai,ba.te.rai,ba.tə.rai
bati,bati,ba.ti,ba.ti
batih,batih,ba.tih,ba.tih
batikan,batikan,ba.tik.an,ba.tik.an
batik,batiʔ,ba.tik,ba.tiʔ
batil,batil,ba.til,ba.til
batin,batin,ba.tin,ba.tin
batiniah,batiniah,ba.ti.ni.ah,ba.ti.ni.ah
batinnya,batinɲa,ba.tin.nya,ba.tin.ɲa
batis,batis,ba.tis,ba.tis
batok,batoʔ,ba.tok,ba.toʔ
batuan,batuan,ba.tu.an,ba.tu.an
batu,batu,ba.tu,ba.tu
batuk,batuʔ,ba.tuk,ba.tuʔ
batung,batuŋ,ba.tung,ba.tuŋ
batunya,batuɲa,ba.tu.nya,ba.tu.ɲa
bau,bau,ba.u,ba.u
bauk,bauʔ,ba.uk,ba.uʔ
bauksit,bauʔsit,bauk.sit,bauʔ.sit
baun,baun,ba.un,ba.un
baung,bauŋ,ba.ung,ba.uŋ
baunya,bauɲa,ba.u.nya,ba.u.ɲa
bauran,bauran,ba.ur.an,ba.ur.an
-baur,baur,-ba.ur,ba.ur
baur,baur,ba.ur,ba.ur
baureksa,baurəʔsa,ba.u.rek.sa,ba.u.rəʔ.sa
bausastra,bausastra,ba.u.sas.tra,ba.u.sas.tra
bausuku,bausuku,ba.u.su.ku,ba.u.su.ku
baut,baut,ba.ut,ba.ut
bawaan,bawaʔan,ba.wa.an,ba.wa.ʔan
bawa,bawa,ba.wa,ba.wa
bawab,bawab,ba.wab,ba.wab
bawahan,bawahan,ba.wah.an,ba.wah.an
bawahannya,bawahanɲa,ba.wah.an.nya,ba.wah.an.ɲa
bawah,bawah,ba.wah,ba.wah
bawakan,bawakan,ba.wak.an,ba.wak.an
bawak,bawaʔ,ba.wak,ba.waʔ
bawal,bawal,ba.wal,ba.wal
bawang,bawaŋ,ba.wang,ba.waŋ
bawasir,bawasir,ba.wa.sir,ba.wa.sir
bawat,bawat,ba.wat,ba.wat
bawel,bawel,ba.wel,ba.wel
bawon,bawon,ba.won,ba.won
baya,baja,ba.ya,ba.ja
bayak,bajaʔ,ba.yak,ba.jaʔ
bayam,bajam,ba.yam,ba.jam
bayan,bajan,ba.yan,ba.jan
bayangan,bajaŋan,ba.yang.an,ba.jaŋ.an
bayang,bajaŋ,ba.yang,ba.jaŋ
bayaran,bajaran,ba.yar.an,ba.jar.an
bayar,bajar,ba.yar,ba.jar
bayas,bajas,ba.yas,ba.jas
bayata,bajata,ba.ya.ta,ba.ja.ta
bayati,bajati,ba.ya.ti,ba.ja.ti
bayi,baji,ba.yi,ba.ji
bayinya,bajiɲa,ba.yi.nya,ba.ji.ɲa
bayonet,bajonet,ba.yo.net,ba.jo.net
bayuan,bajuan,ba.yu.an,ba.ju.an
bayu,baju,ba.yu,ba.ju
bayuh,bajuh,ba.yuh,ba.juh
bayung,bajuŋ,ba.yung,ba.juŋ
bayur,bajur,ba.yur,ba.jur
bazar,bazar,ba.zar,ba.zar
bazoka,bazoka,ba.zo.ka,ba.zo.ka
bea,bea,be.a,be.a
beasiswa,beasiswa,be.a.sis.wa,be.a.sis.wa
bebal,bəbal,be.bal,bə.bal
beban,bəban,be.ban,bə.ban
bebandos,bəbandos,be.ban.dos,bə.ban.dos
bebang,bəbaŋ,be.bang,bə.baŋ
bebar,bəbar,be.bar,bə.bar
bebas,bebas,be.bas,be.bas
bebaskan,bebaskan,be.bas.kan,be.bas.kan
bebat,bəbat,be.bat,bə.bat
be,be,be,be
be,bə,be,bə
bebe,bebe,be.be,be.be
bebe,bəbə,be.be,bə.bə
bebek,bebeʔ,be.bek,be.beʔ
bebekisme,bebekismə,be.bek.is.me,be.bek.is.mə
bebel,bəbəl,be.bel,bə.bəl
bebenah,bəbənah,be.be.nah,bə.bə.nah
beberan,beberan,be.ber.an,be.ber.an
beberapa,bəbərapa,be.be.ra.pa,bə.bə.ra.pa
beber,beber,be.ber,be.ber
beber,bəbər,be.ber,bə.bər
bebesaran,bəbəsaran,be.be.sa.ran,bə.bə.sa.ran
bebi,bebi,be.bi,be.bi
bebodoran,bəbodoran,be.bo.dor.an,bə.bo.dor.an
bebola,bəbola,be.bo.la,bə.bo.la
bebotoh,bəbotoh,be.bo.toh,bə.bo.toh
bebrek,bebreʔ,beb.rek,beb.reʔ
bebuahan,bəbuahan,be.bu.ah.an,bə.bu.ah.an
bebuyutan,bəbujutan,be.bu.yut.an,bə.bu.jut.an
becak,betʃaʔ,be.cak,be.tʃaʔ
becak,bətʃaʔ,be.cak,bə.tʃaʔ
becek,betʃeʔ,be.cek,be.tʃeʔ
beceng,betʃeŋ,be.ceng,be.tʃeŋ
becermin,bətʃərmin,be.cer.min,bə.tʃər.min
becuk,betʃuʔ,be.cuk,be.tʃuʔ
becuk,bətʃuʔ,be.cuk,bə.tʃuʔ
becus,bətʃus,be.cus,bə.tʃus
beda,beda,be.da,be.da
bedah,bədah,be.dah,bə.dah
bedak,bədaʔ,be.dak,bə.daʔ
bedal,bədal,be.dal,bə.dal
bedama,bədama,be.da.ma,bə.da.ma
bedanya,bedaɲa,be.da.nya,be.da.ɲa
bedaru,bədaru,be.da.ru,bə.da.ru
bedaya,bədaja,be.da.ya,bə.da.ja
bedebah,bədəbah,be.de.bah,bə.də.bah
bedegap,bədəgap,be.de.gap,bə.də.gap
bedegong,bədəgoŋ,be.de.gong,bə.də.goŋ
bedel,bədel,be.del,bə.del
bedeng,bedeŋ,be.deng,be.deŋ
bederma,bədərma,be.der.ma,bə.dər.ma
bedilan,bədilan,be.dil.an,bə.dil.an
bedil,bədil,be.dil,bə.dil
bedinde,bədində,be.din.de,bə.din.də
bedolan,bədolan,be.dol.an,bə.dol.an
bedol,bədol,be.dol,bə.dol
bedudak,bədudaʔ,be.du.dak,bə.du.daʔ
bedukang,bədukaŋ,be.du.kang,bə.du.kaŋ
beduk,bəduʔ,be.duk,bə.duʔ
bedungan,bəduŋan,be.dung.an,bə.duŋ.an
bedung,bəduŋ,be.dung,bə.duŋ
bega,bega,be.ga,be.ga
begadang,bəgadaŋ,be.ga.dang,bə.ga.daŋ
begah,bəgah,be.gah,bə.gah
begal,begal,be.gal,be.gal
begana,bəgana,be.ga.na,bə.ga.na
begap,begap,be.gap,be.gap
begap,bəgap,be.gap,bə.gap
begar,begar,be.gar,be.gar
begar,bəgar,be.gar,bə.gar
begawan,bəgawan,be.ga.wan,bə.ga.wan
beginian,bəginian,be.gi.ni.an,bə.gi.ni.an
begini,bəgini,be.gi.ni,bə.gi.ni
beginilah,bəginilah,be.gi.ni.lah,bə.gi.ni.lah
begituan,bəgituan,be.gi.tu.an,bə.gi.tu.an
begitu,bəgitu,be.gi.tu,bə.gi.tu
begitulah,bəgitulah,be.gi.tu.lah,bə.gi.tu.lah
bego,bego,be.go,be.go
begonia,begonia,be.go.ni.a,be.go.ni.a
begu,begu,be.gu,be.gu
begu,bəgu,be.gu,bə.gu
beguk,bəguʔ,be.guk,bə.guʔ
begundal,bəgundal,be.gun.dal,bə.gun.dal
beha,beha,be.ha,be.ha
behandel,bəhandəl,be.han.del,bə.han.dəl
bejana,bədʒana,be.ja.na,bə.dʒa.na
bejat,bədʒat,be.jat,bə.dʒat
beka,beka,be.ka,be.ka
bekah,bəkah,be.kah,bə.kah
bekakak,bəkakaʔ,be.ka.kak,bə.ka.kaʔ
bekakas,bəkakas,be.ka.kas,bə.ka.kas
bekalan,bəkalan,be.kal.an,bə.kal.an
bekal,bəkal,be.kal,bə.kal
bekam,bəkam,be.kam,bə.kam
bekantan,bəkantan,be.kan.tan,bə.kan.tan
bekap,bəkap,be.kap,bə.kap
bekas,bəkas,be.kas,bə.kas
bekat,bəkat,be.kat,bə.kat
bekatul,bəkatul,be.ka.tul,bə.ka.tul
bek,beʔ,bek,beʔ
bek,bəʔ,bek,bəʔ
bekel,bəkel,be.kel,bə.kel
bekel,bekəl,be.kel,be.kəl
bekel,bəkəl,be.kel,bə.kəl
beken,bəken,be.ken,bə.ken
beker,bekər,be.ker,be.kər
bekerdom,bəkərdom,be.ker.dom,bə.kər.dom
bekerja,bəkərdʒa,be.ker.ja,bə.kər.dʒa
bekerjalah,bəkərdʒalah,be.ker.ja.lah,bə.kər.dʒa.lah
bekerjasama,bəkərdʒasama,be.ker.ja.sa.ma,bə.kər.dʒa.sa.ma
bekerlapan,bəkərlapan,be.ker.lap.an,bə.kər.lap.an
bekerlip,bəkərlip,be.ker.lip,bə.kər.lip
bekernyut,bəkərɲut,be.ker.nyut,bə.kər.ɲut
bekertak,bəkərtaʔ,be.ker.tak,bə.kər.taʔ
bekicot,bəkitʃot,be.ki.cot,bə.ki.tʃot
bekil,bəkil,be.kil,bə.kil
bekisar,bəkisar,be.ki.sar,bə.ki.sar
bekleding,bəʔlediŋ,bek.le.ding,bək.le.diŋ
bekles,beʔles,bek.les,bek.les
beksan,bəʔsan,bek.san,bəʔ.san
bekuan,bəkuan,be.ku.an,bə.ku.an
beku,bəku,be.ku,bə.ku
bekuk,bəkuʔ,be.kuk,bə.kuʔ
bekuku,bəkuku,be.ku.ku,bə.ku.ku
belaan,bəlaʔan,be.la.an,bə.la.ʔan
belabas,bəlabas,be.la.bas,bə.la.bas
bela,bela,be.la,be.la
bela,bəla,be.la,bə.la
belacak,bəlatʃaʔ,be.la.cak,bə.la.tʃaʔ
belacan,bəlatʃan,be.la.can,bə.la.tʃan
belacu,bəlatʃu,be.la.cu,bə.la.tʃu
beladau,bəladau,be.la.dau,bə.la.dau
beladu,bəladu,be.la.du,bə.la.du
belahak,bəlahaʔ,be.la.hak,bə.la.haʔ
belahan,bəlahan,be.lah.an,bə.lah.an
belah,bəlah,be.lah,bə.lah
belaian,bəlaian,be.lai.an,bə.lai.an
belai,bəlai,be.lai,bə.lai
belajar,bəladʒar,bel.a.jar,bəl.a.dʒar
belajarnya,bəladʒarɲa,bel.a.jar.nya,bəl.a.dʒar.ɲa
belaka,bəlaka,be.la.ka,bə.la.ka
